sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003061541	ST13		194.8	5.81170567667955	648194	185.23	7.82045640288682	7.60194564825453	67.5	69.2	596	5.13451570132319	91.09	4.0255	7.62752397756975
LV3003061543	ST13		151	5.92988260679173	850907	184.56	7.95566310111767	7.64923307970996	80.7	82.9	801	5.67305450848581	62.293	4.57949	7.91259892566273
LV3003061544	ST13		111	5.62313346309173	419887	154.76	7.99340304207658	7.56417459566305	76.2	81.2	567	5.56085223781026	45.122	4.33366	8.48981108255027
LV3003061545	ST13		65	5.93137395322656	853834	284.94	8.04411298971126	7.73301279929259	77.3	90.3	790	5.51780688699794	23.172	4.8514	7.63783856522009
LV3003061546	ST13		25	5.82093670638072	662119	267.14	7.76199494600907	7.61502715816127	62.4	62.7	461	4.64139205752603	7.197	3.37985	6.14534613060279
LV3003061555	ST13		229.8	4.57377640686517	37477	21.95	7.49529258191944	6.42722717553126	66.5	82.3	99	3.70525750262951	126.443	3.25303	13.9174660887275
LV3003061556	ST13		189.8	5.68287851370321	481812	171.57	7.82409723595304	7.53697867160441	68.8	71.6	539	4.94371271124659	86.6174	4.134088	8.5404217959206
LV3003061557	ST13		146	5.648164778574	444799	188.06	7.77478979212725	7.58628305697417	82.9	90.5	531	5.24559229183399	58.082	4.48508	7.14615019137165
LV3003061558	ST13		106	5.76693160830547	584697	207.2	7.87748202501941	7.58060657014333	85.6	102.9	637	5.36766724903603	42.626	4.47496	8.37469053564879
LV3003061559	ST13		60	5.82911585960729	674707	362.3	7.98309771829531	7.75854402389123	67.5	75.1	721	5.53625778144854	21.069	4.90793	7.53156383007576
LV3003061568	ST13		224.8	4.35177698731776	22478	14.6	6.68711078495385	6.10922138099256	58.4	66.6	53	2.87660974165963	121.6354	3.209168	15.0912241071525
LV3003061569	ST13		184.8	5.85738074869307	720079	141.44	7.83267038913678	7.60825774714212	68.4	70.4	710	5.33168804583661	81.6946	3.806108	7.84255695133946
LV3003061570	ST13		141	5.68624379716732	485560	127.35	7.90112855745608	7.4926115303805	71.1	73.9	594	5.4487830646287	55.466	4.32864	6.57988298438419
LV3003061571	ST13		101	5.80139341855698	632984	159.84	7.95516423269531	7.65017102439958	63	68.8	558	4.54543217996211	40.457	4.53172	8.70107494147892
LV3003061572	ST13		55	6.27958938453724	1903659	341.81	8.17274037475319	7.88052112792429	75.5	100.4	943	5.69602535409543	19.099	4.96297	7.43201022654066
LV7001898064	ST13		20	5.97930976586787	953475	117.6	8.01964367737722	7.72809033296939	54	54.8	669	5.2210024470266	6.808	3.36232	6.18967560972194
